CHROM	FRAG_START	FRAG_STOP	STRAND	DESCRITION	MODEL	ATG	INCLUDE?		HAS TSS	IN
Chr1	386515	386548	-	"ID=LOC_Os01g01720.1:cds_1;Parent=LOC_Os01g01720.1"	LOC_Os01g01720.1	386548	1		LOC_Os01g01520.1	1
Chr1	395651	396031	-	"ID=LOC_Os01g01740.1:cds_1;Parent=LOC_Os01g01740.1"	LOC_Os01g01740.1	396031	1		LOC_Os01g01570.1	1
Chr1	274529	274957	-	"ID=LOC_Os01g01520.1:cds_1;Parent=LOC_Os01g01520.1"	LOC_Os01g01520.1	274957	1		LOC_Os01g01920.1	1
Chr1	289696	289830	+	"ID=LOC_Os01g01570.1:cds_1;Parent=LOC_Os01g01570.1"	LOC_Os01g01570.1	289696	1		LOC_Os01g01970.2	1
Chr1	498515	498922	+	LOC_Os01g01050.1	LOC_Os01g01920.1	498515	1		LOC_Os01g02000.1	1
Chr1	510846	511556	+	"ID=LOC_Os01g01940.1:cds_1;Parent=LOC_Os01g01940.1"	LOC_Os01g01940.1	510846	1		LOC_Os01g02010.1	1
Chr1	526641	526763	-	"ID=LOC_Os01g01970.2:cds_1;Parent=LOC_Os01g01970.2"	LOC_Os01g01970.2	526763	1		LOC_Os01g02050.1	1
Chr1	537787	538068	+	"ID=LOC_Os01g02000.1:cds_1;Parent=LOC_Os01g02000.1"	LOC_Os01g02000.1	537787	1		LOC_Os01g02060.1	1
Chr1	543803	544424	-	"ID=LOC_Os01g02010.1:cds_1;Parent=LOC_Os01g02010.1"	LOC_Os01g02010.1	544424	1		LOC_Os01g02080.1	1
Chr1	549255	549399	+	"ID=LOC_Os01g02020.1:cds_1;Parent=LOC_Os01g02020.1"	LOC_Os01g02020.1	549255	1		LOC_Os01g02090.1	1
Chr1	571847	572002	-	"ID=LOC_Os01g02050.1:cds_1;Parent=LOC_Os01g02050.1"	LOC_Os01g02050.1	572002	1		LOC_Os01g01780.1	1
Chr1	579024	579278	-	"ID=LOC_Os01g02060.1:cds_1;Parent=LOC_Os01g02060.1"	LOC_Os01g02060.1	579278	1		LOC_Os01g01790.1	1
Chr1	586921	587717	-	"ID=LOC_Os01g02080.1:cds_1;Parent=LOC_Os01g02080.1"	LOC_Os01g02080.1	587717	1		LOC_Os01g01800.1	1
Chr1	588975	589179	+	"ID=LOC_Os01g02090.1:cds_1;Parent=LOC_Os01g02090.1"	LOC_Os01g02090.1	588975	1		LOC_Os01g01840.1	1
Chr1	412675	412911	+	"ID=LOC_Os01g01780.1:cds_1;Parent=LOC_Os01g01780.1"	LOC_Os01g01780.1	412675	1		LOC_Os01g01870.1	1
Chr1	422599	422748	+	"ID=LOC_Os01g01800.1:cds_1;Parent=LOC_Os01g01800.1"	LOC_Os01g01800.1	422599	1		LOC_Os01g01880.1	1
Chr1	441328	441437	+	"ID=LOC_Os01g01830.1:cds_1;Parent=LOC_Os01g01830.1"	LOC_Os01g01830.1	441328	1		LOC_Os01g01890.1	1
Chr1	455707	455907	+	"ID=LOC_Os01g01840.1:cds_1;Parent=LOC_Os01g01840.1"	LOC_Os01g01840.1	455707	1		LOC_Os01g02180.2	1
Chr1	478553	478816	+	"ID=LOC_Os01g01870.1:cds_1;Parent=LOC_Os01g01870.1"	LOC_Os01g01870.1	478553	1		LOC_Os01g02490.1	1
Chr1	482411	482875	+	"ID=LOC_Os01g01880.1:cds_1;Parent=LOC_Os01g01880.1"	LOC_Os01g01880.1	482411	1		LOC_Os01g02590.1	1
Chr1	485177	485262	+	"ID=LOC_Os01g01890.1:cds_1;Parent=LOC_Os01g01890.1"	LOC_Os01g01890.1	485177	1		LOC_Os01g02290.1	1
Chr1	644077	644113	-	"ID=LOC_Os01g02180.2:cds_1;Parent=LOC_Os01g02180.2"	LOC_Os01g02180.2	644113	1		LOC_Os01g02334.1	1
Chr1	646524	646697	-	"ID=LOC_Os01g02190.1:cds_1;Parent=LOC_Os01g02190.1"	LOC_Os01g02190.1	646697	1		LOC_Os01g02360.1	1
Chr1	651477	651745	-	"ID=LOC_Os01g02200.1:cds_1;Parent=LOC_Os01g02200.1"	LOC_Os01g02200.1	651745	1		LOC_Os01g02390.1	1
Chr1	805599	805937	-	"ID=LOC_Os01g02490.1:cds_1;Parent=LOC_Os01g02490.1"	LOC_Os01g02490.1	805937	1		LOC_Os01g02400.1	1
Chr1	864490	865208	-	"ID=LOC_Os01g02590.1:cds_1;Parent=LOC_Os01g02590.1"	LOC_Os01g02590.1	865208	1		LOC_Os01g02110.1	1
Chr1	722521	723283	-	"ID=LOC_Os01g02290.1:cds_1;Parent=LOC_Os01g02290.1"	LOC_Os01g02290.1	723283	1		LOC_Os01g02120.1	1
Chr1	723744	724459	+	"ID=LOC_Os01g02300.1:cds_1;Parent=LOC_Os01g02300.1"	LOC_Os01g02300.1	723744	1		LOC_Os01g02139.1	1
Chr1	733030	733217	-	"ID=LOC_Os01g02320.1:cds_1;Parent=LOC_Os01g02320.1"	LOC_Os01g02320.1	733217	1		LOC_Os01g02150.1	1
Chr1	741507	741652	-	"ID=LOC_Os01g02334.1:cds_1;Parent=LOC_Os01g02334.1"	LOC_Os01g02334.1	741652	1		LOC_Os01g02170.1	1
Chr1	745582	746380	+	"ID=LOC_Os01g02360.1:cds_1;Parent=LOC_Os01g02360.1"	LOC_Os01g02360.1	745582	1		LOC_Os01g02870.1	1
Chr1	768900	769615	-	"ID=LOC_Os01g02390.1:cds_1;Parent=LOC_Os01g02390.1"	LOC_Os01g02390.1	769615	1		LOC_Os01g02880.1	1
Chr1	770442	771213	+	"ID=LOC_Os01g02400.1:cds_1;Parent=LOC_Os01g02400.1"	LOC_Os01g02400.1	770442	1		LOC_Os01g02900.1	1
Chr1	604932	605432	-	"ID=LOC_Os01g02110.1:cds_1;Parent=LOC_Os01g02110.1"	LOC_Os01g02110.1	605432	1		LOC_Os01g02910.1	1
Chr1	620935	621462	-	"ID=LOC_Os01g02130.1:cds_1;Parent=LOC_Os01g02130.1"	LOC_Os01g02130.1	621462	1		LOC_Os01g02920.1	1
Chr1	624135	624470	+	"ID=LOC_Os01g02139.1:cds_1;Parent=LOC_Os01g02139.1"	LOC_Os01g02139.1	624135	1		LOC_Os01g02940.2	1
Chr1	626198	626719	+	"ID=LOC_Os01g02150.1:cds_1;Parent=LOC_Os01g02150.1"	LOC_Os01g02150.1	626198	1		LOC_Os01g02960.1	1
Chr1	632196	632675	+	"ID=LOC_Os01g02160.1:cds_1;Parent=LOC_Os01g02160.1"	LOC_Os01g02160.1	632196	1		LOC_Os01g03030.1	1
Chr1	637835	638965	-	"ID=LOC_Os01g02170.1:cds_1;Parent=LOC_Os01g02170.1"	LOC_Os01g02170.1	638965	1		LOC_Os01g02680.1	1
Chr1	1010362	1010567	+	"ID=LOC_Os01g02870.1:cds_1;Parent=LOC_Os01g02870.1"	LOC_Os01g02870.1	1010362	1		LOC_Os01g02720.2	1
Chr1	1016130	1016276	+	"ID=LOC_Os01g02880.1:cds_1;Parent=LOC_Os01g02880.1"	LOC_Os01g02880.1	1016130	1		LOC_Os01g02780.1	1
Chr1	1069478	1069673	-	"ID=LOC_Os01g02910.1:cds_1;Parent=LOC_Os01g02910.1"	LOC_Os01g02910.1	1069673	1		LOC_Os01g02830.1	1
Chr1	1074642	1074786	-	"ID=LOC_Os01g02920.1:cds_1;Parent=LOC_Os01g02920.1"	LOC_Os01g02920.1	1074786	1		LOC_Os01g03080.1	1
Chr1	1081332	1081464	-	"ID=LOC_Os01g02930.1:cds_1;Parent=LOC_Os01g02930.1"	LOC_Os01g02930.1	1081464	1		LOC_Os01g03090.1	1
Chr1	1093100	1093286	-	"ID=LOC_Os01g02940.2:cds_1;Parent=LOC_Os01g02940.2"	LOC_Os01g02940.2	1093286	1		LOC_Os01g03100.1	1
Chr1	1103872	1105170	+	"ID=LOC_Os01g02960.1:cds_1;Parent=LOC_Os01g02960.1"	LOC_Os01g02960.1	1103872	1		LOC_Os01g03110.1	1
Chr1	1158247	1158357	-	"ID=LOC_Os01g03030.1:cds_1;Parent=LOC_Os01g03030.1"	LOC_Os01g03030.1	1158357	1		LOC_Os01g03130.1	1
Chr1	913462	914219	-	"ID=LOC_Os01g02680.1:cds_1;Parent=LOC_Os01g02680.1"	LOC_Os01g02680.1	914219	1		LOC_Os01g03144.1	1
Chr1	922834	923582	-	"ID=LOC_Os01g02700.1:cds_1;Parent=LOC_Os01g02700.1"	LOC_Os01g02700.1	923582	1		LOC_Os01g03380.1	1
Chr1	934269	934404	-	"ID=LOC_Os01g02720.2:cds_1;Parent=LOC_Os01g02720.2"	LOC_Os01g02720.2	934404	1		LOC_Os01g03390.1	1
Chr1	972485	973305	-	"ID=LOC_Os01g02780.1:cds_1;Parent=LOC_Os01g02780.1"	LOC_Os01g02780.1	973305	1		LOC_Os01g03490.1	1
Chr1	996412	997223	-	"ID=LOC_Os01g02830.1:cds_1;Parent=LOC_Os01g02830.1"	LOC_Os01g02830.1	997223	1		LOC_Os01g03510.1	1
Chr1	1181354	1181959	+	"ID=LOC_Os01g03080.1:cds_1;Parent=LOC_Os01g03080.1"	LOC_Os01g03080.1	1181354	1		LOC_Os01g03520.1	1
Chr1	1183504	1183817	+	"ID=LOC_Os01g03090.1:cds_1;Parent=LOC_Os01g03090.1"	LOC_Os01g03090.1	1183504	1		LOC_Os01g03160.1	1
Chr1	1189108	1189341	-	"ID=LOC_Os01g03100.1:cds_1;Parent=LOC_Os01g03100.1"	LOC_Os01g03100.1	1189341	1		LOC_Os01g03310.1	1
Chr1	1203245	1203374	-	"ID=LOC_Os01g03110.1:cds_1;Parent=LOC_Os01g03110.1"	LOC_Os01g03110.1	1203374	1		LOC_Os01g03320.1	1
Chr1	1217480	1217956	-	"ID=LOC_Os01g03130.1:cds_1;Parent=LOC_Os01g03130.1"	LOC_Os01g03130.1	1217956	1		LOC_Os01g03340.1	1
Chr1	1230167	1230382	-	"ID=LOC_Os01g03144.1:cds_1;Parent=LOC_Os01g03144.1"	LOC_Os01g03144.1	1230382	1		LOC_Os01g03040.1	1
Chr1	1353982	1354746	-	"ID=LOC_Os01g03360.1:cds_1;Parent=LOC_Os01g03360.1"	LOC_Os01g03360.1	1354746	1		LOC_Os01g03050.1	1
Chr1	1363710	1364282	-	"ID=LOC_Os01g03380.1:cds_1;Parent=LOC_Os01g03380.1"	LOC_Os01g03380.1	1364282	1		LOC_Os01g03750.1	1
Chr1	1365856	1366413	-	"ID=LOC_Os01g03390.1:cds_1;Parent=LOC_Os01g03390.1"	LOC_Os01g03390.1	1366413	1		LOC_Os01g03760.1	1
Chr1	1395980	1396702	-	"ID=LOC_Os01g03464.1:cds_1;Parent=LOC_Os01g03464.1"	LOC_Os01g03464.1	1396702	1		LOC_Os01g03820.1	1
Chr1	1404961	1404999	+	"ID=LOC_Os01g03490.1:cds_1;Parent=LOC_Os01g03490.1"	LOC_Os01g03490.1	1404961	1		LOC_Os01g03870.1	1
Chr1	1412774	1412933	-	"ID=LOC_Os01g03500.1:cds_1;Parent=LOC_Os01g03500.1"	LOC_Os01g03500.1	1412933	1		LOC_Os01g03890.1	1
Chr1	1413918	1414309	+	"ID=LOC_Os01g03510.1:cds_1;Parent=LOC_Os01g03510.1"	LOC_Os01g03510.1	1413918	1		LOC_Os01g03900.1	1
Chr1	1232687	1233188	+	"ID=LOC_Os01g03160.1:cds_1;Parent=LOC_Os01g03160.1"	LOC_Os01g03160.1	1232687	1		LOC_Os01g03940.1	1
Chr1	1254256	1254534	+	"ID=LOC_Os01g03190.1:cds_1;Parent=LOC_Os01g03190.1"	LOC_Os01g03190.1	1254256	1		LOC_Os01g03950.1	1
Chr1	1338494	1339075	-	"ID=LOC_Os01g03310.1:cds_1;Parent=LOC_Os01g03310.1"	LOC_Os01g03310.1	1339075	1		LOC_Os01g03980.1	1
Chr1	1341621	1342181	-	"ID=LOC_Os01g03320.1:cds_1;Parent=LOC_Os01g03320.1"	LOC_Os01g03320.1	1342181	1		LOC_Os01g04020.2	1
Chr1	1345247	1346026	-	"ID=LOC_Os01g03330.1:cds_1;Parent=LOC_Os01g03330.1"	LOC_Os01g03330.1	1346026	1		LOC_Os01g04030.1	1
Chr1	1164336	1164569	-	"ID=LOC_Os01g03040.1:cds_1;Parent=LOC_Os01g03040.1"	LOC_Os01g03040.1	1164569	1		LOC_Os01g04050.1	1
Chr1	1165871	1166346	+	"ID=LOC_Os01g03050.1:cds_1;Parent=LOC_Os01g03050.1"	LOC_Os01g03050.1	1165871	1		LOC_Os01g04080.1	1
Chr1	1566166	1566306	+	"ID=LOC_Os01g03730.1:cds_1;Parent=LOC_Os01g03730.1"	LOC_Os01g03730.1	1566166	1		LOC_Os01g04090.1	1
Chr1	1570853	1570888	-	"ID=LOC_Os01g03750.1:cds_1;Parent=LOC_Os01g03750.1"	LOC_Os01g03750.1	1570888	1		LOC_Os01g04100.1	1
Chr1	1576068	1576532	-	"ID=LOC_Os01g03760.1:cds_1;Parent=LOC_Os01g03760.1"	LOC_Os01g03760.1	1576532	1		LOC_Os01g04110.1	1
Chr1	1597928	1598260	-	"ID=LOC_Os01g03810.1:cds_1;Parent=LOC_Os01g03810.1"	LOC_Os01g03810.1	1598260	1		LOC_Os01g04120.1	1
Chr1	1599046	1599234	+	"ID=LOC_Os01g03820.1:cds_1;Parent=LOC_Os01g03820.1"	LOC_Os01g03820.1	1599046	1		LOC_Os01g03549.1	1
Chr1	1643814	1644094	-	"ID=LOC_Os01g03870.1:cds_1;Parent=LOC_Os01g03870.1"	LOC_Os01g03870.1	1644094	1		LOC_Os01g03570.1	1
Chr1	1657376	1657565	+	"ID=LOC_Os01g03890.1:cds_1;Parent=LOC_Os01g03890.1"	LOC_Os01g03890.1	1657376	1		LOC_Os01g03620.1	1
Chr1	1670631	1670924	-	"ID=LOC_Os01g03900.1:cds_1;Parent=LOC_Os01g03900.1"	LOC_Os01g03900.1	1670924	1		LOC_Os01g03630.1	1
Chr1	1676735	1676891	-	"ID=LOC_Os01g03914.1:cds_1;Parent=LOC_Os01g03914.1"	LOC_Os01g03914.1	1676891	1		LOC_Os01g03640.1	1
Chr1	1685427	1685810	-	"ID=LOC_Os01g03940.1:cds_1;Parent=LOC_Os01g03940.1"	LOC_Os01g03940.1	1685810	1		LOC_Os01g03650.1	1
Chr1	1698438	1698691	+	"ID=LOC_Os01g03950.1:cds_1;Parent=LOC_Os01g03950.1"	LOC_Os01g03950.1	1698438	1		LOC_Os01g03670.1	1
Chr1	1712327	1712851	-	"ID=LOC_Os01g03980.1:cds_1;Parent=LOC_Os01g03980.1"	LOC_Os01g03980.1	1712851	1		LOC_Os01g03680.1	1
Chr1	1747088	1748104	+	"ID=LOC_Os01g04020.2:cds_1;Parent=LOC_Os01g04020.2"	LOC_Os01g04020.2	1747088	1		LOC_Os01g03710.1	1
Chr1	1754394	1754519	+	"ID=LOC_Os01g04030.1:cds_1;Parent=LOC_Os01g04030.1"	LOC_Os01g04030.1	1754394	1		LOC_Os01g03720.1	1
Chr1	1760898	1760982	-	"ID=LOC_Os01g04050.1:cds_1;Parent=LOC_Os01g04050.1"	LOC_Os01g04050.1	1760982	1		LOC_Os01g03730.1	1
Chr1	1771622	1772347	-	"ID=LOC_Os01g04080.1:cds_1;Parent=LOC_Os01g04080.1"	LOC_Os01g04080.1	1772347	1		LOC_Os01g04200.1	1
Chr1	1777811	1778020	-	"ID=LOC_Os01g04090.1:cds_1;Parent=LOC_Os01g04090.1"	LOC_Os01g04090.1	1778020	1		LOC_Os01g04500.1	1
Chr1	1781275	1781844	+	"ID=LOC_Os01g04100.1:cds_1;Parent=LOC_Os01g04100.1"	LOC_Os01g04100.1	1781275	1		LOC_Os01g04540.1	1
Chr1	1791289	1791435	-	"ID=LOC_Os01g04110.1:cds_1;Parent=LOC_Os01g04110.1"	LOC_Os01g04110.1	1791435	1		LOC_Os01g04570.1	1
Chr1	1802335	1803138	-	"ID=LOC_Os01g04120.1:cds_1;Parent=LOC_Os01g04120.1"	LOC_Os01g04120.1	1803138	1		LOC_Os01g04590.1	1
Chr1	1423344	1425260	+	"ID=LOC_Os01g03520.1:cds_1;Parent=LOC_Os01g03520.1"	LOC_Os01g03520.1	1423344	1		LOC_Os01g04250.1	1
Chr1	1434084	1434320	+	"ID=LOC_Os01g03530.1:cds_1;Parent=LOC_Os01g03530.1"	LOC_Os01g03530.1	1434084	1		LOC_Os01g04260.1	1
Chr1	1437346	1437582	+	"ID=LOC_Os01g03549.1:cds_1;Parent=LOC_Os01g03549.1"	LOC_Os01g03549.1	1437346	1		LOC_Os01g04280.1	1
Chr1	1447221	1447902	+	"ID=LOC_Os01g03570.1:cds_1;Parent=LOC_Os01g03570.1"	LOC_Os01g03570.1	1447221	1		LOC_Os01g04324.1	1
Chr1	1486622	1486870	+	"ID=LOC_Os01g03620.1:cds_1;Parent=LOC_Os01g03620.1"	LOC_Os01g03620.1	1486622	1		LOC_Os01g04330.1	1
Chr1	1491024	1492574	-	"ID=LOC_Os01g03630.1:cds_1;Parent=LOC_Os01g03630.1"	LOC_Os01g03630.1	1492574	1		LOC_Os01g04340.1	1
Chr1	1499928	1500341	-	"ID=LOC_Os01g03640.1:cds_1;Parent=LOC_Os01g03640.1"	LOC_Os01g03640.1	1500341	1		LOC_Os01g04350.1	1
Chr1	1507162	1508028	-	"ID=LOC_Os01g03650.1:cds_1;Parent=LOC_Os01g03650.1"	LOC_Os01g03650.1	1508028	1		LOC_Os01g04360.1	1
Chr1	1513181	1513286	+	"ID=LOC_Os01g03670.1:cds_1;Parent=LOC_Os01g03670.1"	LOC_Os01g03670.1	1513181	1		LOC_Os01g04380.1	1
Chr1	1515878	1516417	+	"ID=LOC_Os01g03680.1:cds_1;Parent=LOC_Os01g03680.1"	LOC_Os01g03680.1	1515878	1		LOC_Os01g04390.1	1
Chr1	1550704	1550884	-	"ID=LOC_Os01g03720.1:cds_1;Parent=LOC_Os01g03720.1"	LOC_Os01g03720.1	1550884	1		LOC_Os01g04160.1	1
Chr1	1849970	1850251	+	"ID=LOC_Os01g04200.1:cds_1;Parent=LOC_Os01g04200.1"	LOC_Os01g04200.1	1849970	1		LOC_Os01g04170.1	1
Chr1	1966545	1967325	-	"ID=LOC_Os01g04409.1:cds_1;Parent=LOC_Os01g04409.1"	LOC_Os01g04409.1	1967325	1		LOC_Os01g04190.1	1
Chr1	1981556	1982345	-	"ID=LOC_Os01g04450.1:cds_1;Parent=LOC_Os01g04450.1"	LOC_Os01g04450.1	1982345	1		LOC_Os01g04800.1	1
Chr1	1993553	1994231	+	"ID=LOC_Os01g04480.1:cds_1;Parent=LOC_Os01g04480.1"	LOC_Os01g04480.1	1993553	1		LOC_Os01g04814.1	1
Chr1	2024019	2024802	+	"ID=LOC_Os01g04540.1:cds_1;Parent=LOC_Os01g04540.1"	LOC_Os01g04540.1	2024019	1		LOC_Os01g04860.1	1
Chr1	2036949	2037745	+	"ID=LOC_Os01g04550.1:cds_1;Parent=LOC_Os01g04550.1"	LOC_Os01g04550.1	2036949	1		LOC_Os01g04870.1	1
Chr1	2048793	2049561	+	"ID=LOC_Os01g04570.1:cds_1;Parent=LOC_Os01g04570.1"	LOC_Os01g04570.1	2048793	1		LOC_Os01g04900.1	1
Chr1	1867989	1869393	+	"ID=LOC_Os01g04230.1:cds_1;Parent=LOC_Os01g04230.1"	LOC_Os01g04230.1	1867989	1		LOC_Os01g04910.1	1
Chr1	1877472	1879757	+	"ID=LOC_Os01g04250.1:cds_1;Parent=LOC_Os01g04250.1"	LOC_Os01g04250.1	1877472	1		LOC_Os01g04920.1	1
Chr1	1888610	1888838	+	"ID=LOC_Os01g04260.1:cds_1;Parent=LOC_Os01g04260.1"	LOC_Os01g04260.1	1888610	1		LOC_Os01g04950.1	1
Chr1	1915010	1915024	-	"ID=LOC_Os01g04300.1:cds_1;Parent=LOC_Os01g04300.1"	LOC_Os01g04300.1	1915024	1		LOC_Os01g04600.1	1
Chr1	1928910	1929557	+	"ID=LOC_Os01g04324.1:cds_1;Parent=LOC_Os01g04324.1"	LOC_Os01g04324.1	1928910	1		LOC_Os01g04660.1	1
Chr1	1931276	1931821	-	"ID=LOC_Os01g04330.1:cds_1;Parent=LOC_Os01g04330.1"	LOC_Os01g04330.1	1931821	1		LOC_Os01g04670.1	1
Chr1	1934247	1934699	+	"ID=LOC_Os01g04340.1:cds_1;Parent=LOC_Os01g04340.1"	LOC_Os01g04340.1	1934247	1		LOC_Os01g04710.1	1
Chr1	1941149	1941649	+	"ID=LOC_Os01g04350.1:cds_1;Parent=LOC_Os01g04350.1"	LOC_Os01g04350.1	1941149	1		LOC_Os01g04720.1	1
Chr1	1944473	1944922	-	"ID=LOC_Os01g04360.1:cds_1;Parent=LOC_Os01g04360.1"	LOC_Os01g04360.1	1944922	1		LOC_Os01g04730.1	1
Chr1	1949005	1949457	-	"ID=LOC_Os01g04370.1:cds_1;Parent=LOC_Os01g04370.1"	LOC_Os01g04370.1	1949457	1		LOC_Os01g05064.1	1
Chr1	1952047	1952499	+	"ID=LOC_Os01g04380.1:cds_1;Parent=LOC_Os01g04380.1"	LOC_Os01g04380.1	1952047	1		LOC_Os01g05070.1	1
Chr1	1955414	1955884	-	"ID=LOC_Os01g04390.1:cds_1;Parent=LOC_Os01g04390.1"	LOC_Os01g04390.1	1955884	1		LOC_Os01g05080.1	1
