CHROM	FRAG_START	FRAG_STOP	STRAND	DESCRITION	MODEL
Chr1	332667	333689	-	"ID=LOC_Os01g01680.1;Name=LOC_Os01g01680.1;Parent=LOC_Os01g01680"	LOC_Os01g01680.1
Chr1	371831	374470	+	"ID=LOC_Os01g01700.1;Name=LOC_Os01g01700.1;Parent=LOC_Os01g01700"	LOC_Os01g01700.1
Chr1	374728	380716	-	"ID=LOC_Os01g01710.1;Name=LOC_Os01g01710.1;Parent=LOC_Os01g01710"	LOC_Os01g01710.1
Chr1	383047	386701	-	"ID=LOC_Os01g01720.1;Name=LOC_Os01g01720.1;Parent=LOC_Os01g01720"	LOC_Os01g01720.1
Chr1	392081	396651	-	"ID=LOC_Os01g01740.1;Name=LOC_Os01g01740.1;Parent=LOC_Os01g01740"	LOC_Os01g01740.1
Chr1	270145	275084	-	"ID=LOC_Os01g01520.1;Name=LOC_Os01g01520.1;Parent=LOC_Os01g01520"	LOC_Os01g01520.1
Chr1	288372	292296	+	"ID=LOC_Os01g01570.1;Name=LOC_Os01g01570.1;Parent=LOC_Os01g01570"	LOC_Os01g01570.1
Chr1	498454	506264	+	"ID=LOC_Os01g01920.1;Name=LOC_Os01g01920.1;Parent=LOC_Os01g01920"	LOC_Os01g01920.1
Chr1	524579	528002	-	"ID=LOC_Os01g01970.2;Name=LOC_Os01g01970.2;Parent=LOC_Os01g01970"	LOC_Os01g01970.2
Chr1	537710	543355	+	"ID=LOC_Os01g02000.1;Name=LOC_Os01g02000.1;Parent=LOC_Os01g02000"	LOC_Os01g02000.1
Chr1	542987	544510	-	"ID=LOC_Os01g02010.1;Name=LOC_Os01g02010.1;Parent=LOC_Os01g02010"	LOC_Os01g02010.1
Chr1	562056	572138	-	"ID=LOC_Os01g02050.1;Name=LOC_Os01g02050.1;Parent=LOC_Os01g02050"	LOC_Os01g02050.1
Chr1	576443	579569	-	"ID=LOC_Os01g02060.1;Name=LOC_Os01g02060.1;Parent=LOC_Os01g02060"	LOC_Os01g02060.1
Chr1	586414	587780	-	"ID=LOC_Os01g02080.1;Name=LOC_Os01g02080.1;Parent=LOC_Os01g02080"	LOC_Os01g02080.1
Chr1	588863	593759	+	"ID=LOC_Os01g02090.1;Name=LOC_Os01g02090.1;Parent=LOC_Os01g02090"	LOC_Os01g02090.1
Chr1	412579	415830	+	"ID=LOC_Os01g01780.1;Name=LOC_Os01g01780.1;Parent=LOC_Os01g01780"	LOC_Os01g01780.1
Chr1	416241	420497	-	"ID=LOC_Os01g01790.1;Name=LOC_Os01g01790.1;Parent=LOC_Os01g01790"	LOC_Os01g01790.1
Chr1	422527	431692	+	"ID=LOC_Os01g01800.1;Name=LOC_Os01g01800.1;Parent=LOC_Os01g01800"	LOC_Os01g01800.1
Chr1	455512	460716	+	"ID=LOC_Os01g01840.1;Name=LOC_Os01g01840.1;Parent=LOC_Os01g01840"	LOC_Os01g01840.1
Chr1	478325	481166	+	"ID=LOC_Os01g01870.1;Name=LOC_Os01g01870.1;Parent=LOC_Os01g01870"	LOC_Os01g01870.1
Chr1	482332	482956	+	"ID=LOC_Os01g01880.1;Name=LOC_Os01g01880.1;Parent=LOC_Os01g01880"	LOC_Os01g01880.1
Chr1	483885	486492	+	"ID=LOC_Os01g01890.1;Name=LOC_Os01g01890.1;Parent=LOC_Os01g01890"	LOC_Os01g01890.1
Chr1	640588	644269	-	"ID=LOC_Os01g02180.2;Name=LOC_Os01g02180.2;Parent=LOC_Os01g02180"	LOC_Os01g02180.2
Chr1	804084	806932	-	"ID=LOC_Os01g02490.1;Name=LOC_Os01g02490.1;Parent=LOC_Os01g02490"	LOC_Os01g02490.1
Chr1	862579	865253	-	"ID=LOC_Os01g02590.1;Name=LOC_Os01g02590.1;Parent=LOC_Os01g02590"	LOC_Os01g02590.1
Chr1	720629	723317	-	"ID=LOC_Os01g02290.1;Name=LOC_Os01g02290.1;Parent=LOC_Os01g02290"	LOC_Os01g02290.1
Chr1	738281	741794	-	"ID=LOC_Os01g02334.1;Name=LOC_Os01g02334.1;Parent=LOC_Os01g02334"	LOC_Os01g02334.1
Chr1	745452	748945	+	"ID=LOC_Os01g02360.1;Name=LOC_Os01g02360.1;Parent=LOC_Os01g02360"	LOC_Os01g02360.1
Chr1	767170	769681	-	"ID=LOC_Os01g02390.1;Name=LOC_Os01g02390.1;Parent=LOC_Os01g02390"	LOC_Os01g02390.1
Chr1	770332	773845	+	"ID=LOC_Os01g02400.1;Name=LOC_Os01g02400.1;Parent=LOC_Os01g02400"	LOC_Os01g02400.1
Chr1	603643	605643	-	"ID=LOC_Os01g02110.1;Name=LOC_Os01g02110.1;Parent=LOC_Os01g02110"	LOC_Os01g02110.1
Chr1	612564	615650	+	"ID=LOC_Os01g02120.1;Name=LOC_Os01g02120.1;Parent=LOC_Os01g02120"	LOC_Os01g02120.1
Chr1	624087	624613	+	"ID=LOC_Os01g02139.1;Name=LOC_Os01g02139.1;Parent=LOC_Os01g02139"	LOC_Os01g02139.1
Chr1	625976	627024	+	"ID=LOC_Os01g02150.1;Name=LOC_Os01g02150.1;Parent=LOC_Os01g02150"	LOC_Os01g02150.1
Chr1	635325	639309	-	"ID=LOC_Os01g02170.1;Name=LOC_Os01g02170.1;Parent=LOC_Os01g02170"	LOC_Os01g02170.1
Chr1	1010259	1012410	+	"ID=LOC_Os01g02870.1;Name=LOC_Os01g02870.1;Parent=LOC_Os01g02870"	LOC_Os01g02870.1
Chr1	1016065	1019545	+	"ID=LOC_Os01g02880.1;Name=LOC_Os01g02880.1;Parent=LOC_Os01g02880"	LOC_Os01g02880.1
Chr1	1057137	1059856	-	"ID=LOC_Os01g02900.1;Name=LOC_Os01g02900.1;Parent=LOC_Os01g02900"	LOC_Os01g02900.1
Chr1	1066448	1069826	-	"ID=LOC_Os01g02910.1;Name=LOC_Os01g02910.1;Parent=LOC_Os01g02910"	LOC_Os01g02910.1
Chr1	1071962	1075030	-	"ID=LOC_Os01g02920.1;Name=LOC_Os01g02920.1;Parent=LOC_Os01g02920"	LOC_Os01g02920.1
Chr1	1089743	1093528	-	"ID=LOC_Os01g02940.2;Name=LOC_Os01g02940.2;Parent=LOC_Os01g02940"	LOC_Os01g02940.2
Chr1	1103782	1106890	+	"ID=LOC_Os01g02960.1;Name=LOC_Os01g02960.1;Parent=LOC_Os01g02960"	LOC_Os01g02960.1
Chr1	1155213	1158601	-	"ID=LOC_Os01g03030.1;Name=LOC_Os01g03030.1;Parent=LOC_Os01g03030"	LOC_Os01g03030.1
Chr1	911735	914246	-	"ID=LOC_Os01g02680.1;Name=LOC_Os01g02680.1;Parent=LOC_Os01g02680"	LOC_Os01g02680.1
Chr1	929883	934914	-	"ID=LOC_Os01g02720.2;Name=LOC_Os01g02720.2;Parent=LOC_Os01g02720"	LOC_Os01g02720.2
Chr1	969308	973327	-	"ID=LOC_Os01g02780.1;Name=LOC_Os01g02780.1;Parent=LOC_Os01g02780"	LOC_Os01g02780.1
Chr1	994710	997262	-	"ID=LOC_Os01g02830.1;Name=LOC_Os01g02830.1;Parent=LOC_Os01g02830"	LOC_Os01g02830.1
Chr1	1181158	1182158	+	"ID=LOC_Os01g03080.1;Name=LOC_Os01g03080.1;Parent=LOC_Os01g03080"	LOC_Os01g03080.1
Chr1	1183394	1186707	+	"ID=LOC_Os01g03090.1;Name=LOC_Os01g03090.1;Parent=LOC_Os01g03090"	LOC_Os01g03090.1
Chr1	1186260	1191013	-	"ID=LOC_Os01g03100.1;Name=LOC_Os01g03100.1;Parent=LOC_Os01g03100"	LOC_Os01g03100.1
Chr1	1198687	1203506	-	"ID=LOC_Os01g03110.1;Name=LOC_Os01g03110.1;Parent=LOC_Os01g03110"	LOC_Os01g03110.1
Chr1	1217006	1218122	-	"ID=LOC_Os01g03130.1;Name=LOC_Os01g03130.1;Parent=LOC_Os01g03130"	LOC_Os01g03130.1
Chr1	1222905	1230507	-	"ID=LOC_Os01g03144.1;Name=LOC_Os01g03144.1;Parent=LOC_Os01g03144"	LOC_Os01g03144.1
Chr1	1363516	1364303	-	"ID=LOC_Os01g03380.1;Name=LOC_Os01g03380.1;Parent=LOC_Os01g03380"	LOC_Os01g03380.1
Chr1	1365508	1366503	-	"ID=LOC_Os01g03390.1;Name=LOC_Os01g03390.1;Parent=LOC_Os01g03390"	LOC_Os01g03390.1
Chr1	1404155	1407187	+	"ID=LOC_Os01g03490.1;Name=LOC_Os01g03490.1;Parent=LOC_Os01g03490"	LOC_Os01g03490.1
Chr1	1413839	1419043	+	"ID=LOC_Os01g03510.1;Name=LOC_Os01g03510.1;Parent=LOC_Os01g03510"	LOC_Os01g03510.1
Chr1	1421693	1428049	+	"ID=LOC_Os01g03520.1;Name=LOC_Os01g03520.1;Parent=LOC_Os01g03520"	LOC_Os01g03520.1
Chr1	1232473	1236832	+	"ID=LOC_Os01g03160.1;Name=LOC_Os01g03160.1;Parent=LOC_Os01g03160"	LOC_Os01g03160.1
Chr1	1338229	1339139	-	"ID=LOC_Os01g03310.1;Name=LOC_Os01g03310.1;Parent=LOC_Os01g03310"	LOC_Os01g03310.1
Chr1	1341319	1342277	-	"ID=LOC_Os01g03320.1;Name=LOC_Os01g03320.1;Parent=LOC_Os01g03320"	LOC_Os01g03320.1
Chr1	1347567	1348786	-	"ID=LOC_Os01g03340.1;Name=LOC_Os01g03340.1;Parent=LOC_Os01g03340"	LOC_Os01g03340.1
Chr1	1160152	1164635	-	"ID=LOC_Os01g03040.1;Name=LOC_Os01g03040.1;Parent=LOC_Os01g03040"	LOC_Os01g03040.1
Chr1	1165737	1168415	+	"ID=LOC_Os01g03050.1;Name=LOC_Os01g03050.1;Parent=LOC_Os01g03050"	LOC_Os01g03050.1
Chr1	1569585	1570939	-	"ID=LOC_Os01g03750.1;Name=LOC_Os01g03750.1;Parent=LOC_Os01g03750"	LOC_Os01g03750.1
Chr1	1571420	1576753	-	"ID=LOC_Os01g03760.1;Name=LOC_Os01g03760.1;Parent=LOC_Os01g03760"	LOC_Os01g03760.1
Chr1	1597486	1604610	+	"ID=LOC_Os01g03820.1;Name=LOC_Os01g03820.1;Parent=LOC_Os01g03820"	LOC_Os01g03820.1
Chr1	1641234	1644237	-	"ID=LOC_Os01g03870.1;Name=LOC_Os01g03870.1;Parent=LOC_Os01g03870"	LOC_Os01g03870.1
Chr1	1657315	1658388	+	"ID=LOC_Os01g03890.1;Name=LOC_Os01g03890.1;Parent=LOC_Os01g03890"	LOC_Os01g03890.1
Chr1	1670322	1670997	-	"ID=LOC_Os01g03900.1;Name=LOC_Os01g03900.1;Parent=LOC_Os01g03900"	LOC_Os01g03900.1
Chr1	1684741	1685880	-	"ID=LOC_Os01g03940.1;Name=LOC_Os01g03940.1;Parent=LOC_Os01g03940"	LOC_Os01g03940.1
Chr1	1698203	1703090	+	"ID=LOC_Os01g03950.1;Name=LOC_Os01g03950.1;Parent=LOC_Os01g03950"	LOC_Os01g03950.1
Chr1	1711930	1712947	-	"ID=LOC_Os01g03980.1;Name=LOC_Os01g03980.1;Parent=LOC_Os01g03980"	LOC_Os01g03980.1
Chr1	1746418	1748549	+	"ID=LOC_Os01g04020.2;Name=LOC_Os01g04020.2;Parent=LOC_Os01g04020"	LOC_Os01g04020.2
Chr1	1754332	1757728	+	"ID=LOC_Os01g04030.1;Name=LOC_Os01g04030.1;Parent=LOC_Os01g04030"	LOC_Os01g04030.1
Chr1	1760140	1761135	-	"ID=LOC_Os01g04050.1;Name=LOC_Os01g04050.1;Parent=LOC_Os01g04050"	LOC_Os01g04050.1
Chr1	1771369	1772410	-	"ID=LOC_Os01g04080.1;Name=LOC_Os01g04080.1;Parent=LOC_Os01g04080"	LOC_Os01g04080.1
Chr1	1775917	1778105	-	"ID=LOC_Os01g04090.1;Name=LOC_Os01g04090.1;Parent=LOC_Os01g04090"	LOC_Os01g04090.1
Chr1	1781075	1782386	+	"ID=LOC_Os01g04100.1;Name=LOC_Os01g04100.1;Parent=LOC_Os01g04100"	LOC_Os01g04100.1
Chr1	1787870	1791498	-	"ID=LOC_Os01g04110.1;Name=LOC_Os01g04110.1;Parent=LOC_Os01g04110"	LOC_Os01g04110.1
Chr1	1801924	1806267	-	"ID=LOC_Os01g04120.1;Name=LOC_Os01g04120.1;Parent=LOC_Os01g04120"	LOC_Os01g04120.1
Chr1	1437163	1445689	+	"ID=LOC_Os01g03549.1;Name=LOC_Os01g03549.1;Parent=LOC_Os01g03549"	LOC_Os01g03549.1
Chr1	1446849	1450473	+	"ID=LOC_Os01g03570.1;Name=LOC_Os01g03570.1;Parent=LOC_Os01g03570"	LOC_Os01g03570.1
Chr1	1486400	1488897	+	"ID=LOC_Os01g03620.1;Name=LOC_Os01g03620.1;Parent=LOC_Os01g03620"	LOC_Os01g03620.1
Chr1	1490473	1492684	-	"ID=LOC_Os01g03630.1;Name=LOC_Os01g03630.1;Parent=LOC_Os01g03630"	LOC_Os01g03630.1
Chr1	1497240	1500609	-	"ID=LOC_Os01g03640.1;Name=LOC_Os01g03640.1;Parent=LOC_Os01g03640"	LOC_Os01g03640.1
Chr1	1503993	1508057	-	"ID=LOC_Os01g03650.1;Name=LOC_Os01g03650.1;Parent=LOC_Os01g03650"	LOC_Os01g03650.1
Chr1	1513136	1514467	+	"ID=LOC_Os01g03670.1;Name=LOC_Os01g03670.1;Parent=LOC_Os01g03670"	LOC_Os01g03670.1
Chr1	1515837	1516832	+	"ID=LOC_Os01g03680.1;Name=LOC_Os01g03680.1;Parent=LOC_Os01g03680"	LOC_Os01g03680.1
Chr1	1534135	1539627	+	"ID=LOC_Os01g03710.1;Name=LOC_Os01g03710.1;Parent=LOC_Os01g03710"	LOC_Os01g03710.1
Chr1	1549229	1551011	-	"ID=LOC_Os01g03720.1;Name=LOC_Os01g03720.1;Parent=LOC_Os01g03720"	LOC_Os01g03720.1
Chr1	1566138	1569472	+	"ID=LOC_Os01g03730.1;Name=LOC_Os01g03730.1;Parent=LOC_Os01g03730"	LOC_Os01g03730.1
Chr1	1849834	1856303	+	"ID=LOC_Os01g04200.1;Name=LOC_Os01g04200.1;Parent=LOC_Os01g04200"	LOC_Os01g04200.1
Chr1	2003219	2003916	-	"ID=LOC_Os01g04500.1;Name=LOC_Os01g04500.1;Parent=LOC_Os01g04500"	LOC_Os01g04500.1
Chr1	2023879	2026177	+	"ID=LOC_Os01g04540.1;Name=LOC_Os01g04540.1;Parent=LOC_Os01g04540"	LOC_Os01g04540.1
Chr1	2048717	2052521	+	"ID=LOC_Os01g04570.1;Name=LOC_Os01g04570.1;Parent=LOC_Os01g04570"	LOC_Os01g04570.1
Chr1	2059309	2062277	+	"ID=LOC_Os01g04590.1;Name=LOC_Os01g04590.1;Parent=LOC_Os01g04590"	LOC_Os01g04590.1
Chr1	1876913	1879903	+	"ID=LOC_Os01g04250.1;Name=LOC_Os01g04250.1;Parent=LOC_Os01g04250"	LOC_Os01g04250.1
Chr1	1888524	1892298	+	"ID=LOC_Os01g04260.1;Name=LOC_Os01g04260.1;Parent=LOC_Os01g04260"	LOC_Os01g04260.1
Chr1	1902736	1905247	+	"ID=LOC_Os01g04280.1;Name=LOC_Os01g04280.1;Parent=LOC_Os01g04280"	LOC_Os01g04280.1
Chr1	1928166	1930290	+	"ID=LOC_Os01g04324.1;Name=LOC_Os01g04324.1;Parent=LOC_Os01g04324"	LOC_Os01g04324.1
Chr1	1930994	1931904	-	"ID=LOC_Os01g04330.1;Name=LOC_Os01g04330.1;Parent=LOC_Os01g04330"	LOC_Os01g04330.1
Chr1	1934117	1935048	+	"ID=LOC_Os01g04340.1;Name=LOC_Os01g04340.1;Parent=LOC_Os01g04340"	LOC_Os01g04340.1
Chr1	1941003	1941953	+	"ID=LOC_Os01g04350.1;Name=LOC_Os01g04350.1;Parent=LOC_Os01g04350"	LOC_Os01g04350.1
Chr1	1944247	1945035	-	"ID=LOC_Os01g04360.1;Name=LOC_Os01g04360.1;Parent=LOC_Os01g04360"	LOC_Os01g04360.1
Chr1	1951928	1952771	+	"ID=LOC_Os01g04380.1;Name=LOC_Os01g04380.1;Parent=LOC_Os01g04380"	LOC_Os01g04380.1
Chr1	1955148	1955925	-	"ID=LOC_Os01g04390.1;Name=LOC_Os01g04390.1;Parent=LOC_Os01g04390"	LOC_Os01g04390.1
Chr1	1834110	1837733	+	"ID=LOC_Os01g04160.1;Name=LOC_Os01g04160.1;Parent=LOC_Os01g04160"	LOC_Os01g04160.1
Chr1	1838170	1839194	-	"ID=LOC_Os01g04170.1;Name=LOC_Os01g04170.1;Parent=LOC_Os01g04170"	LOC_Os01g04170.1
Chr1	1843869	1849186	+	"ID=LOC_Os01g04190.1;Name=LOC_Os01g04190.1;Parent=LOC_Os01g04190"	LOC_Os01g04190.1
Chr1	2202264	2203860	+	"ID=LOC_Os01g04800.1;Name=LOC_Os01g04800.1;Parent=LOC_Os01g04800"	LOC_Os01g04800.1
Chr1	2215586	2222837	-	"ID=LOC_Os01g04814.1;Name=LOC_Os01g04814.1;Parent=LOC_Os01g04814"	LOC_Os01g04814.1
Chr1	2245732	2250576	+	"ID=LOC_Os01g04860.1;Name=LOC_Os01g04860.1;Parent=LOC_Os01g04860"	LOC_Os01g04860.1
Chr1	2250820	2255073	-	"ID=LOC_Os01g04870.1;Name=LOC_Os01g04870.1;Parent=LOC_Os01g04870"	LOC_Os01g04870.1
Chr1	2266281	2271051	-	"ID=LOC_Os01g04900.1;Name=LOC_Os01g04900.1;Parent=LOC_Os01g04900"	LOC_Os01g04900.1
Chr1	2271163	2273757	+	"ID=LOC_Os01g04910.1;Name=LOC_Os01g04910.1;Parent=LOC_Os01g04910"	LOC_Os01g04910.1
Chr1	2275067	2278872	+	"ID=LOC_Os01g04920.1;Name=LOC_Os01g04920.1;Parent=LOC_Os01g04920"	LOC_Os01g04920.1
Chr1	2294510	2298407	+	"ID=LOC_Os01g04950.1;Name=LOC_Os01g04950.1;Parent=LOC_Os01g04950"	LOC_Os01g04950.1
Chr1	2063612	2066083	-	"ID=LOC_Os01g04600.1;Name=LOC_Os01g04600.1;Parent=LOC_Os01g04600"	LOC_Os01g04600.1
Chr1	2097192	2100694	+	"ID=LOC_Os01g04660.1;Name=LOC_Os01g04660.1;Parent=LOC_Os01g04660"	LOC_Os01g04660.1
Chr1	2101874	2102672	-	"ID=LOC_Os01g04670.1;Name=LOC_Os01g04670.1;Parent=LOC_Os01g04670"	LOC_Os01g04670.1
Chr1	2120381	2122366	+	"ID=LOC_Os01g04710.1;Name=LOC_Os01g04710.1;Parent=LOC_Os01g04710"	LOC_Os01g04710.1
Chr1	2130798	2137310	+	"ID=LOC_Os01g04720.1;Name=LOC_Os01g04720.1;Parent=LOC_Os01g04720"	LOC_Os01g04720.1
Chr1	2137763	2138996	+	"ID=LOC_Os01g04730.1;Name=LOC_Os01g04730.1;Parent=LOC_Os01g04730"	LOC_Os01g04730.1
Chr1	2377322	2377980	-	"ID=LOC_Os01g05064.1;Name=LOC_Os01g05064.1;Parent=LOC_Os01g05064"	LOC_Os01g05064.1
Chr1	2378810	2382690	-	"ID=LOC_Os01g05070.1;Name=LOC_Os01g05070.1;Parent=LOC_Os01g05070"	LOC_Os01g05070.1
Chr1	2383530	2385638	-	"ID=LOC_Os01g05080.1;Name=LOC_Os01g05080.1;Parent=LOC_Os01g05080"	LOC_Os01g05080.1
Chr1	2386373	2388611	+	"ID=LOC_Os01g05090.1;Name=LOC_Os01g05090.1;Parent=LOC_Os01g05090"	LOC_Os01g05090.1
Chr1	2388208	2390483	-	"ID=LOC_Os01g05100.1;Name=LOC_Os01g05100.1;Parent=LOC_Os01g05100"	LOC_Os01g05100.1
Chr1	2403270	2405982	+	"ID=LOC_Os01g05130.1;Name=LOC_Os01g05130.1;Parent=LOC_Os01g05130"	LOC_Os01g05130.1
Chr1	2414271	2415072	+	"ID=LOC_Os01g05150.1;Name=LOC_Os01g05150.1;Parent=LOC_Os01g05150"	LOC_Os01g05150.1
Chr1	2422242	2422914	+	"ID=LOC_Os01g05170.1;Name=LOC_Os01g05170.1;Parent=LOC_Os01g05170"	LOC_Os01g05170.1
Chr1	2500280	2501249	+	"ID=LOC_Os01g05310.1;Name=LOC_Os01g05310.1;Parent=LOC_Os01g05310"	LOC_Os01g05310.1
Chr1	2542013	2542732	-	"ID=LOC_Os01g05380.1;Name=LOC_Os01g05380.1;Parent=LOC_Os01g05380"	LOC_Os01g05380.1
Chr1	2560858	2565373	+	"ID=LOC_Os01g05420.1;Name=LOC_Os01g05420.1;Parent=LOC_Os01g05420"	LOC_Os01g05420.1
Chr1	2579552	2583575	-	"ID=LOC_Os01g05470.1;Name=LOC_Os01g05470.1;Parent=LOC_Os01g05470"	LOC_Os01g05470.1
Chr1	2584986	2589023	-	"ID=LOC_Os01g05480.3;Name=LOC_Os01g05480.3;Parent=LOC_Os01g05480"	LOC_Os01g05480.3
Chr1	2589537	2593641	-	"ID=LOC_Os01g05490.1;Name=LOC_Os01g05490.1;Parent=LOC_Os01g05490"	LOC_Os01g05490.1
Chr1	2349919	2353502	-	"ID=LOC_Os01g04990.1;Name=LOC_Os01g04990.1;Parent=LOC_Os01g04990"	LOC_Os01g04990.1
Chr1	2357769	2360444	-	"ID=LOC_Os01g05010.1;Name=LOC_Os01g05010.1;Parent=LOC_Os01g05010"	LOC_Os01g05010.1
Chr1	2674400	2675373	+	"ID=LOC_Os01g05610.1;Name=LOC_Os01g05610.1;Parent=LOC_Os01g05610"	LOC_Os01g05610.1
Chr1	2686729	2687700	+	"ID=LOC_Os01g05630.1;Name=LOC_Os01g05630.1;Parent=LOC_Os01g05630"	LOC_Os01g05630.1
Chr1	2688623	2692186	-	"ID=LOC_Os01g05640.1;Name=LOC_Os01g05640.1;Parent=LOC_Os01g05640"	LOC_Os01g05640.1
Chr1	2693134	2695085	-	"ID=LOC_Os01g05650.1;Name=LOC_Os01g05650.1;Parent=LOC_Os01g05650"	LOC_Os01g05650.1
Chr1	2707498	2711428	-	"ID=LOC_Os01g05670.1;Name=LOC_Os01g05670.1;Parent=LOC_Os01g05670"	LOC_Os01g05670.1
Chr1	2742507	2747439	+	"ID=LOC_Os01g05744.1;Name=LOC_Os01g05744.1;Parent=LOC_Os01g05744"	LOC_Os01g05744.1
Chr1	2770140	2774609	+	"ID=LOC_Os01g05800.1;Name=LOC_Os01g05800.1;Parent=LOC_Os01g05800"	LOC_Os01g05800.1
Chr1	2791224	2795865	+	"ID=LOC_Os01g05830.1;Name=LOC_Os01g05830.1;Parent=LOC_Os01g05830"	LOC_Os01g05830.1
Chr1	2800436	2803742	+	"ID=LOC_Os01g05840.2;Name=LOC_Os01g05840.2;Parent=LOC_Os01g05840"	LOC_Os01g05840.2
Chr1	2805584	2808152	+	"ID=LOC_Os01g05860.1;Name=LOC_Os01g05860.1;Parent=LOC_Os01g05860"	LOC_Os01g05860.1
Chr1	2810313	2815017	+	"ID=LOC_Os01g05870.1;Name=LOC_Os01g05870.1;Parent=LOC_Os01g05870"	LOC_Os01g05870.1
